roster,capacity,hand_size,days,window,discard_limit,gain_threshold,budget,seed,focal_seats,opponent_revision,timeout,embarrassment,total_spent,budget_remaining,sockless_days,faults,fault_details,budget_exhausted_on_day,source_sha256,python_version
"2,2,2,2",28,4,730,40,1,6,120.0,4019,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,978.75,120.0,0.0,0,0,,704,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4020,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1936.25,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4021,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,981.25,120.0,0.0,0,0,,717,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4022,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1801.0,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4023,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,331.0,110.0,10.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4024,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,706.0,110.0,10.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4025,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1355.75,120.0,0.0,0,0,,730,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4026,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2057.25,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4027,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,846.25,120.0,0.0,0,0,,726,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4028,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,994.0,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
